ID,VICTIMAS,FECHA,ANIO,MES,DIA,HORA,MEDIO,COMUNA,X,Y,PARTICIPANTES,ACUSADO,ROL,DAMNIFICADO,SEXO,EDAD,OBITO,SEMESTRE
2018-0142,1,2018-12-25,2018,12,25,13:30:00,AUTOPISTA,12,"-58,51","-34,57",CARGAS-PASAJEROS,PASAJEROS,PASAJERO,CARGAS,MASCULINO,32,1,2
2018-0143,1,2018-12-29,2018,12,29,05:25:00,AVENIDA,10,"-58,49","-34,64",MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,22,1,2
2019-0001,1,2019-01-08,2019,1,8,08:30:00,AVENIDA,2,"-58,39","-34,58",MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,25,1,1
2019-0002,1,2019-01-09,2019,1,9,04:00:00,AVENIDA,7,"-58,45","-34,65",AUTO-CARGAS,CARGAS,CONDUCTOR,AUTO,MASCULINO,32,1,1
2019-0003,1,2019-01-12,2019,1,12,08:00:00,AVENIDA,15,"-58,49","-34,60",MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,23,1,1
2019-0004,1,2019-01-14,2019,1,14,19:58:00,AVENIDA,9,"-58,47","-34,65",AUTO-PASAJEROS,PASAJEROS,CONDUCTOR,AUTO,MASCULINO,71,1,1
2019-0005,1,2019-01-19,2019,1,19,12:00:00,AVENIDA,10,"-58,52","-34,63",MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,43,1,1
2019-0006,1,2019-01-23,2019,1,23,05:45:00,AVENIDA,14,"-58,42","-34,56",PEATON-AUTO,AUTO,PEATON,PEATON,FEMENINO,12,1,1
2019-0007,1,2019-01-26,2019,1,26,19:34:00,CALLE,5,"-58,43","-34,61",MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,35,1,1
2019-0008,1,2019-01-30,2019,1,30,22:45:00,AUTOPISTA,8,"-58,48","-34,69",MULTIPLE,MULTIPLE,CONDUCTOR,MOTO,MASCULINO,42,1,1
2019-0009,1,2019-01-31,2019,1,31,14:55:00,AVENIDA,1,"-58,38","-34,62",MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,34,1,1
2019-0010,2,2019-02-02,2019,2,2,07:50:00,AVENIDA,14,"-58,43","-34,57",PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,0,1,1
2019-0010,2,2019-02-02,2019,2,2,07:50:00,AVENIDA,14,"-58,43","-34,57",PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,59,1,1
2019-0011,1,2019-02-10,2019,2,10,01:00:00,AUTOPISTA,9,"-58,52","-34,66",PEATON-AUTO,AUTO,PEATON,PEATON,MASCULINO,0,1,1
